ISO3,Country,event_year
ALB,Albania,2006
DZA,Algeria,2000
AGO,Angola,2010
ARG,Argentina,2016
ARM,Armenia,2014
AUT,Austria,2000
BHS,Bahamas,2004
BHS,"Bahamas, The",2004
BHR,Bahrain,2000
BGD,Bangladesh,2000
BRB,Barbados,2011
BEL,Belgium,2022
BLZ,Belize,2022
BEN,Benin,2017
BTN,Bhutan,2015
BOL,Bolivia,2022
BIH,Bosnia Herzegovina,2006
BIH,Bosnia and Herzegovina,2006
BWA,Botswana,2000
BRA,Brazil,2000
BGR,Bulgaria,2003
BFA,Burkina Faso,2014
MMR,Burma,2012
BDI,Burundi,2000
CPV,Cabo Verde,2018
KHM,Cambodia,2022
CMR,Cameroon,2004
CAN,Canada,2000
CAF,Central African Rep,2014
CAF,Central African Republic,2014
CHL,Chile,2001
CHN,China,2000
COL,Colombia,2006
COM,Comoros,2022
COD,Congo Dem Rep,2002
COD,"Congo, Dem. Rep.",2002
CRI,Costa Rica,2000
HRV,Croatia,2000
CYP,Cyprus,2000
CZE,Czech Rep,2014
CZE,Czechia,2014
DNK,Denmark,2000
DOM,Dominican Rep,2000
DOM,Dominican Republic,2000
ECU,Ecuador,2000
EGY,Egypt,2000
EGY,"Egypt, Arab Rep.",2000
SLV,El Salvador,2000
EST,Estonia,2022
SWZ,Eswatini,2014
ETH,Ethiopia,2006
FJI,Fiji,2022
FIN,Finland,2000
FRA,France,2000
GAB,Gabon,2017
GMB,Gambia,2021
GMB,"Gambia, The",2021
GEO,Georgia,2021
DEU,Germany,2022
GHA,Ghana,2000
GRC,Greece,2000
GTM,Guatemala,2006
GIN,Guinea,2017
GNB,Guinea Bissau,2005
GNB,Guinea-Bissau,2005
GUY,Guyana,2022
HTI,Haiti,2003
HND,Honduras,2022
HKG,Hong Kong,2022
HKG,"Hong Kong SAR, China",2022
HUN,Hungary,2001
ISL,Iceland,2000
IND,India,2000
IDN,Indonesia,2000
IRN,Iran,2000
IRN,"Iran, Islamic Rep.",2000
IRL,Ireland,2000
ISR,Israel,2000
ITA,Italy,2000
JAM,Jamaica,2000
JPN,Japan,2000
JOR,Jordan,2000
KAZ,Kazakhstan,2012
KEN,Kenya,2000
KOR,Korea South,2022
KOR,"Korea, Rep.",2022
KWT,Kuwait,2021
KGZ,Kyrgyz Rep,2014
KGZ,Kyrgyz Republic,2014
LAO,Lao PDR,2017
LAO,Laos,2017
LBN,Lebanon,2022
LSO,Lesotho,2013
LBY,Libya,2020
LUX,Luxembourg,2022
MDG,Madagascar,2000
MWI,Malawi,2008
MYS,Malaysia,2022
MLI,Mali,2014
MLT,Malta,2004
MRT,Mauritania,2019
MUS,Mauritius,2000
MEX,Mexico,2017
MDA,Moldova,2014
MNG,Mongolia,2005
MNE,Montenegro,2006
MAR,Morocco,2008
MOZ,Mozambique,2017
MMR,Myanmar,2012
NAM,Namibia,2022
NPL,Nepal,2000
NLD,Netherlands,2022
NZL,New Zealand,2000
NIC,Nicaragua,2000
NER,Niger,2014
NGA,Nigeria,2000
NOR,Norway,2003
OMN,Oman,2000
PAK,Pakistan,2001
PAN,Panama,2014
PNG,Papua New Guinea,2007
PRY,Paraguay,2000
PER,Peru,2000
PHL,Philippines,2000
POL,Poland,2002
PRT,Portugal,2000
QAT,Qatar,2022
ROU,Romania,2000
RUS,Russia,2002
RUS,Russian Federation,2002
RWA,Rwanda,2010
SAU,Saudi Arabia,2013
SEN,Senegal,2000
SRB,Serbia,2007
SYC,Seychelles,2018
SLE,Sierra Leone,2002
SGP,Singapore,2000
SVK,Slovak Republic,2000
SVK,Slovakia,2000
SVN,Slovenia,2004
SOM,Somalia,2022
ZAF,South Africa,2000
ESP,Spain,2000
LKA,Sri Lanka,2000
SDN,Sudan,2020
SWE,Sweden,2014
SYR,Syria,2000
SYR,Syrian Arab Republic,2000
TJK,Tajikistan,2018
TZA,Tanzania,2009
THA,Thailand,2000
TLS,Timor Leste,2022
TLS,Timor-Leste,2022
TGO,Togo,2005
TTO,Trinidad Tobago,2001
TTO,Trinidad and Tobago,2001
TUN,Tunisia,2000
UGA,Uganda,2000
UKR,Ukraine,2002
ARE,United Arab Emirates,2022
GBR,United Kingdom,2000
URY,Uruguay,2000
VEN,Venezuela,2000
VEN,"Venezuela, RB",2000
ZMB,Zambia,2000
ZWE,Zimbabwe,2008
